rule,generator,bus,station,class,cum_cut_MWh,cum_avail_MWh,r,hours_cut
band5,16374-4,1631,Corderry,P,55.90030396398078,20686.611330000003,0.0027022455767278524,14
band5,16377-1,1631,Corderry,P,65.76506348703622,24337.1898,0.002702245576727853,14
band5,16379-2,1631,Corderry,P,2.1190964901378333,784.1983379999999,0.002702245576727853,14
band5,16382-1,1631,Corderry,P,77.92543223939333,27649.751745,0.002818304951091825,15
band5,16392-1,1631,Corderry,P,91.3004086286486,32395.503756000002,0.0028183049510918244,15
band5,17075-7,1341,Binbane,P,129.9090436451749,5420.4713838,0.023966373853283346,124
band5,17077-8,1341,Binbane,P,1.312212562072474,54.7522362,0.02396637385328335,124
band5,19371-1,1931,Cunghill,P,8235.380549520216,64007.963800000005,0.1286618111341985,466
band5,19372-2,1931,Cunghill,P,3831.0302043302345,29780.547368,0.12864203458015616,458
band5,26732-1,2671,Garvagh,N,86.56290174679339,91940.4948,0.0009415100705635249,6
band5,26771-1,2671,Garvagh,P,66.1951601593126,70307.4372,0.0009415100705635249,6
band5,26773-1,2671,Garvagh,P,56.011289365572196,59490.9084,0.0009415100705635249,6
band5,35971-1,3591,Lenalea,P,6072.0812697573765,83960.75898500001,0.07232046664611719,274
band5,40471-1,4041,Moy,P,155.03869066728635,17036.26302,0.009100510510155669,33
band5,40771-1,4071,Meentycat,P,18485.584415269856,146494.080412,0.12618656237358528,514
band5,40772-2,4071,Meentycat,P,6310.9575527367415,50012.9128968,0.1261865623735853,514
band5,40773-3,4071,Meentycat,P,4892.215157160264,38769.69992,0.12618656237358528,514
band5,40971-1,4091,Mulreavy,P,27748.277117539903,216648.82652,0.1280795172688291,522
band5,40972-2,4091,Mulreavy,P,1438.17289938469,11228.750155,0.1280795172688291,522
band5,40973-1,4091,Mulreavy,P,1218.2170441846788,9511.411896,0.12807951726882913,522
band5,43771-1,4371,Glenree,N,10351.511111519863,80449.41716000001,0.12867105166135007,528
band5,43774-2,4371,Glenree,P,12625.146587800118,98119.5570005,0.12867105166135007,528
band5,49971-1,4991,Sorne Hill,P,7973.47585893125,88920.51966,0.08966969479507031,381
band5,49973-2,4991,Sorne Hill,P,1873.134011304484,20889.264936,0.08966969479507031,381
band5,49976-3,4991,Sorne Hill,P,2328.761203243412,25970.437487999996,0.08966969479507031,381
band5,49977-1,4991,Sorne Hill,P,151.8757306463095,1693.7241839999997,0.08966969479507032,381
band5,49979-3,4991,Sorne Hill,P,75.93786532315475,846.8620919999998,0.08966969479507032,381
band5,53673-3,5361,Trillick,P,4268.898257904173,39520.23096,0.10801804934350953,425
band5,53674-4,5361,Trillick,P,3046.1638283187635,28200.5076636,0.10801804934350953,425
band5,67059-1,5241,Tawnaghmore,P,320.85346380900864,52882.883327999996,0.006067246027773334,26
band5,67059-2,5241,Tawnaghmore,P,180.48007339256742,29746.621872000003,0.006067246027773335,26
band5,68087-1,4981,Sligo,P,2639.117149987064,20487.4008165,0.12881659189591244,433
band5,68101-1,4981,Sligo,P,2069.8958039114223,16068.549659999999,0.12881659189591244,433
band5,68223-1,1341,Binbane,P,32.80531405181185,1368.805905,0.023966373853283346,124
band5,68254-1,4371,Glenree,N,979.6965873402727,7613.9626955,0.12867105166135007,528
band5,68260-1,1571,Ardnagappary,N,2328.41629956778,48208.738472,0.048298635752938066,179
band5,68269-1,1341,Binbane,P,1312.212562072474,54752.2362,0.023966373853283346,124
band5,68269-2,1341,Binbane,N,236.1982611730453,9855.402516,0.023966373853283346,124
band5,68284-1,5361,Trillick,P,2103.956998538486,19477.828116000004,0.10801804934350955,425
band5,68308-1,4091,Mulreavy,P,1827.3255662770182,14267.117844,0.12807951726882913,522
band5,68312-1,4371,Glenree,N,4621.210317642795,35914.918374999994,0.12867105166135007,528
band5,69197-1,17010,Cathaleen's Fall,P,6166.364676981195,47951.9999,0.12859452556391074,432
band6,13471-1,1341,Binbane,P,24.845980058448102,1806.8237946000002,0.013751191528861052,73
band6,13473-4,1341,Binbane,P,376.0777890665099,27348.741981900002,0.013751191528861052,73
